SEASON,MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
WS 2021,August,II,Isabela,City of Ilagan,Pasa,17.18875,121.96643,Rice,,56.25,NK5017/ SL8,Flowering,BPH,4.2,4.2,5,,,4.2,0,DA RF02 provided insecticide (5 Liters Marshal) .Massive spraying was done.,,,3,2021
WS 2021,August,II,Isabela,City of Ilagan,Pasa,17.18875,121.96643,Rice,,,RC 4080,Dough,BPH,4,4,30,,,4,0,Spraying of insecticide not applicable on maturity stage. Advised farmers to harvest earlier for maturity stage to avoid maigration of population of BPH, ,,3,2021
DS 2021-2022,May,II,Cagayan,Gonzaga,Pateng,18.239215,121.993169,Rice,,255,LP2096/PHB76/PHB77,Seedling stage,FAW,10.2,10.2,25,,,10.2,0,"DA RFO2 RCPMCProvided Insecticde, Conducted on the spot Technical briefing for management/control of Faw.",,,3,2021
WS 2021,June,II,Cagayan,Gonzaga,Pateng,18.2646,121.9878,Rice,,255,PH79,Tillering,TAW,1.5,1.5,6,,,1.5,0,Farmers sprayed insecticide. Followed application of BCA's,,,36,2021
DS 2021-2022,May,II,Cagayan,Sta. Ana,Patunungan,18.3279,122.2678,Rice,,42,SL-8h/ Bigante/222/122/GSR2/Dilina,Seedling stage,FAW,1.68,1.68,15,,,1.68,0,"DA RFO2 RCPMCProvided Insecticde, Conducted on the spot Technical briefing for management/control of Faw.",,,1,2021
DS 2021-2022,May,II,Quirino,Maddela,Pedlisan,16.30312,121.65632,Rice,,7,PHB 79,Seedling stage,FAW,0.28,0.28,2,,,0.28,0,Farmers sprayed insecticide. Followed application of BCA's,,,1,2021
WS 2021,June,II,Nueva Vizcaya,Kayapa,Pingkian,16.318092,120.965122,Rice,,6,TH 82/ 79,Dough,BPH,6,6,80,,,6,0,DA-RCPMC and DA-NVES provided chemicals and BCA for infestation,,,35,2021
WS 2021,June,II,Nueva Vizcaya,Kayapa,Pingkian,16.318092,120.965122,Rice,,6,TH 82/ 79,Dough,BPH,6,6,80,,,6,0,DA-RCPMC and DA-NVES provided chemicals and BCA for infestation,,,3,2021
WS 2021,September,II,Nueva Vizcaya,Kayapa,Pingkian,16.3204,120.9447,Rice,,60,NSIC RC 436/ 480/ PHB 79,Tillering,BPH,20,20,50,,,20,0,Validated and recommended farmers to spray Insecticide,,,40,2021
WS 2021,September,II,Nueva Vizcaya,Kayapa,Pingkian,16.3204,120.9447,Rice,,,PHB 79,Booting,BPH,5,5,60,,,5,0,Validated and recommended farmers to spray Insecticide, ,,18,2021
WS 2021,September,II,Quirino,Villamor,Pingkian,16.489623,121.509883,Rice,,170.5,NK 5017/ 218/ 402,Tillering,BPH,22,22,6,,,22,0,Validated and recommended farmers to spray Insecticide,,,40,2021
WS 2021,September,II,Isabela,San Manuel,Pisang,17.036305,121.652922,Rice,,438,SL8/ 222/ Bigante,Panicle Initiation,BPH,30,30,10,,,30,0,Validated and distributed 36 Liters of Ariba Massive spraying was done.,,,4,2021
WS 2021,September,II,Isabela,Ramon,Planas,16.793044,121.510236,Rice,,154,480/ Phb79/ 402/ Sl8,Flowering,BPH,15,15,10,,,15,0,DA RF02 provided insecticide (24 Liters Marshal ) .Massive spraying was done.,,,25,2021
WS 2021,September,II,Isabela,Santiago City,Plaridel,16.672859,121.519015,Rice,,2.4,480/ PHB79,Heading,BPH,0.4,0.4,5,,,0.4,0,Validated and recommended farmers to spray Insecticide,,,66,2021
WS 2021,July,II,Isabela,Santiago City,Plaridel,16.685069,121.528307,Rice,,2,222,Seedling stage,FAW,0.05,0.05,5,,,0.05,0,Validated and recommended farmers to spray insecticide,,,10,2021
WS 2021,July,II,Isabela,Santiago City,Plaridel,16.68509,121.528307,Rice,,0.05,402,Seedling stage,Rice Blast,0.03,0.03,70,,,0.03,0,Validated and recommended farmers to spray Fungicide,,,2,2021
DS 2021-2022,May,II,Cagayan,Gonzaga,Poblacion,18.257617,122.663785,Rice,,202,PHB79/LP2096,Seedling stage,FAW,8.08,8.08,30,,,8.08,0,"DA RFO2 RCPMCProvided Insecticde, Conducted on the spot Technical briefing for management/control of Faw.",,,,2021
WS 2021,October,II,Nueva Vizcaya,Diadi,Poclacion Sitio,16.682333,121.354732,Rice,,30,402,Seedling stage,BPH,3,3,30,,,3,0,DA NVES provoded chemicals for massive spraying,,,1,2021
WS 2021,September,II,Nueva Vizcaya,Kasibu,Pudi,16.300012,121.296692,Rice,,30,402/ 222/ C-8/ 216/ Bigante,Tillering,BPH,11,11,40,,,11,0,Validated and recommended farmers to spray Insecticide,,,1,2021
WS 2021,August,II,Isabela,Luna,Puroc,16.476193,121.719295,Rice,,170,SL8-H,Tillering,BLS,3,3,20,,,3,0,Validated and recommended farmers to spray Fungicide,,,10,2021
WS 2021,August,II,Isabela,Ramon,Purok ni Bulan,16.786265,121.540747,Rice,,10,222/ 402/ DDX,Flowering,BPH,1,1,2,,,1,0,DA RF02 provided insecticide (12 Liters Marshal) .Massive spraying was done.,,,1,2021
WS 2021,August,II,Isabela,Ramon,Purok ni Bulan,16.816791,121.564307,Rice,,1,222,Heading,Leaffolder,0.05,0.05,10,,,0.05,0,Validated and recommended farmers to spray Insecticide,,,1,2021
WS 2021,August,II,Isabela,Roxas,Rang Ayan,17.108093,121.630093,Rice,,200,480/ 402/ SL8-H/,Booting,BPH,20,20,10,,,20,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,1,2021
WS 2021,August,II,Isabela,Ramon,Raniag,16.77313,121.541104,Rice,,4,222/ 402,Flowering,BPH,0.01,0.01,2,,,0.01,0,DA RF02 provided insecticide (12 Liters Marshal) .Massive spraying was done.,,,16,2021
WS 2021,August,II,Isabela,Burgos,Raniag,17.048438,121.751807,Rice,,241,480/ 402,Panicle Initiation,Stem Borer,5,5,30,,,5,0,Validated and recommended farmers to spray Insecticide,,,5,2021
WS 2021,August,II,Isabela,Ramon,Ranig,16.762766,121.543245,Rice,,1,222,Heading,Stem Borer,0.02,0.02,5,,,0.02,0,Validated and recommended farmers to spray Insecticide,,,3,2021
DS 2021-2022,May,II,Cagayan,Sta. Ana,Rapuli,18.175587,122.148713,Rice,,125,Angelica 122,Seedling stage,FAW,5,5,40,,,5,0,"DA RFO2 RCPMC Provided Insecticde, Conducted on the spot Technical briefing for management/control of Faw.",,,5,2021
WS 2021,June,II,Cagayan,Gonzaga,Rebecca,18.2479,122.9597,Rice,,30,LP2096/480,Seedling stage,FAW,1.2,1.2,15,,,1.2,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,5,2021
WS 2021,August,II,Quirino,Diffun,Recarte Norte,16.549012,121.498968,Rice,,191,222,Panicle Initiation,Rice tungro virus,4.5,4.5,20,,,4.5,0,Advised Farmer to to remove or uproot the affected area and apply insecticide,,,20,2021
WS 2021,July,II,Quirino,Diffun,Ricarte Norte,16.545782,121.499907,Rice,,180,Inbred,Tillering,Whorl Maggot,3,3,8,,,3,0,Validated and recommended farmers to spray Insecticide,,,30,2021
WS 2021,September,II,Quirino,Saguday,Rizal,16.542975,121.556477,Rice,,434.09,"402, 222, 480",Booting,BPH,80,80,15,,,80,0,Validated and distributed (20 Liters of Marshal and 12 liters of Ariba) Massive spraying was done.,,,2,2021
WS 2021,October,II,Quirino,Saguday,Rizal,16.542688,121.555465,Rice,,434,402/ 480/ Long pin,Dough,BPH,24,24,10,,,24,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,September,II,Quirino,Saguday,Rizal,16.542302,121.55402,Rice,,434,222,Milking,Leaffolder,40,40,8,,,40,0,DA RF02 provided insecticide (4 Bottles Marshal).Massive spraying was done.,,,2,2021
WS 2021,August,II,Nueva Vizcaya,Quezon,Runruno,16.457287,121.329631,Rice,,15,408/ 222/ 480,Tillering,BPH,15,15,30,,,15,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,September,II,Isabela,San Agustin,Salay,16.435,121.7794,Rice,,11.95,NK5017/ SL8-H/ Habilis/ PHB 79,Booting,BPH,10.35,10.35,60,,,10.35,0,Validated and recommended farmers to spray Insecticide,,,5,2021
WS 2021,September,II,Isabela,San Mateo,Salinungan,16.838503,121.63416,Rice,,5,DDX/ 222,Heading,BPH,1,1,15,,,1,0,Validated and recommended farmers to spray Insecticide,,,15,2021
WS 2021,September,II,Isabela,San Mateo,Salinungan,16.838503,121.63416,Rice,,5,DDX/ 222,Heading,Leaffolder,1,1,30,,,1,0,Validated and recommended farmers to spray Insecticide,,,2,2021
WS 2021,September,II,Isabela,San Mateo,Salinungan West,16.854015,121.639047,Rice,,20,DDX/ 222/ LP2096,Heading,BPH,5,5,15,,,5,0,Validated and recommended farmers to spray Insecticide,,,2,2021
WS 2021,September,II,Isabela,San Mateo,Salinungan west,16.854015,121.639047,Rice,,20,DDX/ 222/ LP2096,Heading,Leaffolder,10,10,5,,,10,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,September,II,Quirino,Saguday,Salvacion,16.563478,121.57873,Rice,,281.99,480,Booting,BPH,15,15,30,,,15,0,Validated and distributed (20 Liters of Marshal and 12 liters of Ariba) Massive spraying was done.,,,18,2021
WS 2021,September,II,Isabela,Quezon,Samonte,17.277412,121.60673,Rice,,215,SL8/ PHB79/ 480,Tillering,BPH,10,10,10,,,10,0,Validated and recommended farmers to spray Insecticide,,,18,2021
WS 2021,September,II,Isabela,Cabatuan,Sampaloc,16.95379,121.679924,Rice,,172.6,LP2096/ Sl8/ plus/ 222/ PHb79/ 480/ 402,Milking,BPH,17.3,17.3,10,,,17.3,0,Validated and distributed (36 Liters of Ariba ) Massive spraying was done.,,,18,2021
WS 2021,July,II,Quirino,Diffun,San Antonio,16.633627,121.497172,Rice,,103.12,222,Seedling stage,Armyworm,0.8,0.8,6,,,0.8,0,Validated and recommended farmers to spray Insecticide,,,,2021
WS 2021,August,II,Isabela,Roxas,San Antonio,17.095792,121.613302,Rice,,110,Long pin/ Bigante/ 402/ 480,Flowering,BPH,20,20,30,,,20,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,,2021
WS 2021,September,II,Isabela,Burgos,San Antonio,17.078968,121.736422,Rice,,65,222/ 480/ Long pin,Panicle Initiation,BPH,12,12,30,,,12,0,Validated and recommended farmers to spray Insecticide,,,,2021
WS 2021,July,II,Quirino,Diffun,San Antonio,16.633627,121.497172,Rice,,103.12,222,Seedling stage,FAW,0.8,0.8,6,,,0.8,0,Validated and recommended farmers to spray insecticide,,,16,2021
WS 2021,August,II,Quirino,Diffun,San Antonio,16.635903,121.485142,Rice,,80,NSIC RC506,Booting,Leaffolder,1,1,5,,,1,0,Validated and recommended farmers to spray Insecticide,,,8,2021
WS 2021,August,II,Isabela,Burgos,San Bonifacio,17.041615,121.770267,Rice,,196,402/ 408,Tillering,Rodents,42,42,20,,,42,0,DA-RCPC provided (1 kg. Zinc Phosphine),,,3,2021
WS 2021,July,II,Quirino,Naguilian,San Dionocio II,16.255812,121.630465,Rice,,12.3,INBRED,Tillering,Whorl Maggot,2,2,5,,,2,0,Validated and recommended farmers to spray Insecticide,,,7,2021
WS 2021,June,II,Nueva Vizcaya,Kayapa,San Fabian,16.346332,120.994384,Rice,,8,TH 77/ 79,Tillering,BLB,8,8,10,,,8,0,DA-NVES provided the chemical and BCA Metarhizium used in the massive spraying,,,19,2021
WS 2021,September,II,Nueva Vizcaya,Kayapa,San Fabian,16.3413,120.987,Rice,,89,NSIC RC 436/ 480,Tillering,BPH,35,35,70,,,35,0,Validated and recommended farmers to spray Insecticide,,,5,2021
WS 2021,September,II,Nueva Vizcaya,Kayapa,San Fabian,16.3413,120.987,Rice,,,NSIC RC 436/ 480,Booting,BPH,10,10,70,,,10,0,Validated and recommended farmers to spray Insecticide, ,,,2021
WS 2021,September,II,Nueva Vizcaya,Kayapa,San Fabian,16.3413,120.987,Rice,,89,480/ 436,Booting,BPH,70,70,70,,,70,0,Validated and provided 12 Liters of Ariba Massive spraying was done.,,,2,2021
WS 2021,August,II,Quirino,Aglipay,San Francisco,16.442052,121.640123,Rice,,178.4,NSIC RC506,Booting,Leaffolder,1,1,5,,,1,0,Validated and recommended farmers to spray Insecticide,,,1,2021
WS 2021,September,II,Isabela,Cauayan City,San Isidro,16.867587,121.768877,Rice,,10,DDX/ 222/ LP2096/ 480/ SL8,Dough,BPH,1,1,5,,,1,0,Validated and recommended farmers to spray Insecticide,,,1,2021
WS 2021,August,II,Isabela,Jones,San Jose,16.534855,121.699035,Rice,,24.5,NSIC Rc27/ Azucena/ Pinilisa,Tillering,BPH,12.5,12.5,2,,,12.5,0,DA RF02 provided insecticide (23 Bottles Solomon).Massive spraying was done.,,,35,2021
WS 2021,August,II,Isabela,Roxas,San Jose,17.10316,121.658717,Rice,,225,480/ 402/ SL8-H/,Panicle Initiation,BPH,22.5,22.5,8,,,22.5,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,,2021
WS 2021,August,II,Isabela,Roxas,San Luis,17.107647,121.650093,Rice,,176,480/ 402/ SL8-H/,Panicle Initiation,BPH,35.2,35.2,10,,,35.2,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,,2021
WS 2021,August,II,Isabela,San Mateo,San Manuel,16.86427,121.57866,Rice,,2,DDX,Booting,BPH,0.02,0.02,10,,,0.02,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,30,2021
WS 2021,August,II,Isabela,Burgos,San Miguel,17.052915,121.748454,Rice,,,Longpin,Tillering,BLB,8,8,15,,,8,0,DA-RCPC provided (4 kls Fungicide), ,,20,2021
WS 2021,August,II,Isabela,Luna,San Miguel,16.952297,121.726888,Rice,,110,SL8-H,Panicle Initiation,BLS,5,5,30,,,5,0,Validated and recommended farmers to spray Fungicide,,,125,2021
WS 2021,August,II,Isabela,Burgos,San Miguel,17.048438,121.751807,Rice,,400,480/ 420/ SL8-H/ PHB77,Panicle Initiation,BPH,30,30,10,,,30,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,160,2021
WS 2021,August,II,Isabela,Burgos,San Miguel,17.052915,121.748454,Rice,,195,Longpin,Tillering,GLH,8,8,15,,,8,0,DA-RCPC provided (4 kls Fungicide),,,45,2021
WS 2021,August,II,Isabela,Alicia,San Pedro,16.823121,121.651909,Rice,,5,LP 2096,Booting,BPH,0.5,0.5,2,,,0.5,0,DA RF02 provided insecticide (24 Liters Marshal) .Massive spraying was done.,,,25,2021
WS 2021,September,II,Isabela,Alicia,San Pedro,16.804388,121.631312,Rice,,10,DDX/ LP 2096/ 402,Flowering,BPH,2,2,8,,,2,0,Validated and recommended farmers to spray Insecticide,,,7,2021
WS 2021,August,II,Isabela,Roxas,San Placido,17.141823,121.60524,Rice,,,480/ SL-8H,Booting,BLB,10,10,15,,,10,0,Validated and recommended farmers to spray Insecticide, ,,20,2021
WS 2021,August,II,Isabela,Roxas,San Placido,17.141823,121.60524,Rice,,105,480/ SL-8H,Booting,GLH,10,10,15,,,10,0,Validated and recommended farmers to spray Fungicide,,,10,2021
WS 2021,July,II,Isabela,Roxas,San Placido,17.140238,121.609245,Rice,,150,SL8-8H/402,Panicle Initiation,Leaffolder,5,5,20,,,5,0,Validated and recommended farmers to spray Insecticide,,,10,2021
WS 2021,September,II,Isabela,San Mateo,San Roque,16.9155,121.588159,Rice,,5,402,Booting,BPH,1,1,2,,,1,0,Farmers Sprayed insecticide,,,1,2021
WS 2021,August,II,Isabela,Burgos,San Roque,17.474238,121.764627,Rice,,183,PHB29/ 402/ 480,Tillering,Rodents,29,29,20,,,29,0,DA-RCPC provided (1 kg. Zinc Phosphine),,,1,2021
WS 2021,June,II,Cagayan,Sta. Ana,San Vicente,18.5466,122.1346,Rice,,4,SL-8H/ 222,Seedling stage,FAW,0.16,0.16,8,,,0.16,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,14,2021
WS 2021,June,II,Isabela,Tumauini,San Vicente,17.32183,121.825906,Rice,,1,RC 438,Tillering,Stem Borer,1,1,2,,,1,0,Farmers sprayed insecticide.,,,13,2021
WS 2021,August,II,Isabela,City of Ilagan,Santa Victoria,17.17191,121.951607,Rice,,93.42,NK5017,Dough,BPH,0.9,0.9,90,,,0.9,0,Spraying of insecticide not applicable on maturity stage. Advised farmers to harvest earlier for maturity stage to avoid maigration of population of BPH,,,20,2021
WS 2021,September,II,Isabela,Cabatuan,Saranay,16.968271,121.679414,Rice,,215.75,LP2096/ Sl8/ plus/ 222/ PHb79/ 480/ 402,Milking,BPH,21.6,21.6,10,,,21.6,0,Validated and distributed (36 Liters of Ariba ) Massive spraying was done.,,,5,2021
WS 2021,September,II,Quirino,Saguday,Sato Tomas,16.55255,121.582486,Rice,,644.63,NSIC RC 480,Booting,BPH,50,50,50,,,50,0,Validated and distributed (20 Liters of Marshal and 12 liters of Ariba) Massive spraying was done.,,,28,2021
WS 2021,September,II,Isabela,Cauayan City,Sillawit,16.863924,121.754874,Rice,,28.6,LP2096/ SL8/ Bigante Plus/ Biorice/ S6006,Flowering,BPH,5.7,5.7,15,,,5.7,0,Validated and recommended farmers to spray Insecticide,,,5,2021
WS 2021,June,II,Isabela,Roxas,Sinnimbaan,17.111665,121.572015,Rice,,50,SL8/ 402/ 222,Seedling stage,FAW,2,2,2,,,2,0,DA RFO2 RCPMC provided Insecticide ( 15 bottles of Prevathon @250ml/bottle.),,,2,2021
WS 2021,September,II,Isabela,Tumauini,Sisim Alto,17.270706,121.849494,Rice,,83,Habilis,Tillering,BPH,30,30,70,,,30,0,DA RF02 provided insecticide (12 Liters Marshal) .Massive spraying was done.,,,3,2021
WS 2021,September,II,Nueva Vizcaya,Quezon,Sitio Dupilig,16.433399,121.321331,Rice,,60,480/ 218/ 216/ 128,Tillering,BPH,20,20,50,,,20,0,DA RF02 NVES provided insecticide for Massive spraying was done.,,,3,2021
WS 2021,June,II,Cagayan,Sta. Ana,Sta Clara,18.2338,122.0605,Rice,,18,SL-8H/122/222,Seedling stage,FAW,0.72,0.72,12,,,0.72,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,25,2021
WS 2021,June,II,Cagayan,Gonzaga,Sta Clara,18.2338,122.06,Rice,,50,480/222,Seedling stage,FAW,2,2,8,,,2,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,5,2021
WS 2021,August,II,Isabela,Quirino,Sta Lucia,17.133508,121.728777,Rice,,150,480/ 402,Panicle Initiation,BPH,10,10,8,,,10,0,DA RF02 provided insecticide (3 boxes Virtako) .Massive spraying was done.,,,1,2021
WS 2021,September,II,Isabela,Cauayan City,Sta Luciana,16.8993,121.812865,Rice,,61.5,DDX/ 222/ LP2096/ 480/ SL8,Flowering,BPH,14.5,14.5,10,,,14.5,0,Validated and recommended farmers to spray Insecticide,,,20,2021
WS 2021,June,II,Cagayan,Gonzaga,Sta Maria,18.2684,122.2087,Rice,,10,PHB79/Sl8,Seedling stage,FAW,0.4,0.4,6,,,0.4,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,38,2021
WS 2021,September,II,Isabela,Alicia,Sto Tomas,16.882927,121.740698,Rice,,10,DDx/ 402/ 222,Flowering,BPH,3,3,5,,,3,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,June,II,Cagayan,Sta. Ana,Tangatan,18.4971,122.1636,Rice,,6,222/ Bigante/SL-8H,Seedling stage,FAW,0.24,0.24,12,,,0.24,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,25,2021
WS 2021,June,II,Cagayan,Gonzaga,Tapel,18.2943,121.0349,Rice,,172.79,PHB79/LP2096/480/ 222,Seedling stage,FAW,6.91,6.91,18,,,6.91,0,"DA RFO2 RCPMC Provided Insecticide, Conducted on the spot Technical briefing for management/control of Faw.",,,1,2021
WS 2021,September,II,Quirino,Saguday,Tres Reyes,16.531377,121.597822,Rice,,229.07,NSIC RC 480,Tillering,BPH,25,25,50,,,25,0,Validated and distributed 12 Liters of Marshal Massive spraying was done.,,,1,2021
WS 2021,September,II,Quirino,Cabarroguis,Tucod,16.364062,121.472625,Rice,,62,Palawan mismis/ 402,Panicle Initiation,BPH,25,25,8,,,15,0,DA RF02 provided insecticide (20 Liters Marshal ) .Massive spraying was done.,,,5,2021
WS 2021,September,II,Quirino,Cabarroguis,Tucod,16.364062,121.472625,Rice,,62,Palawan mismis/ 402,Panicle Initiation,Stem Borer,5,5,8,,,5,0,Validated and recommended farmers to spray Insecticide,,,2,2021
WS 2021,September,II,Isabela,Gamu,Upi,17.084528,121.842207,Rice,,60,480/ NK/ SL8,Tillering,BPH,15,15,30,,,15,0,DA RF02 provided insecticide (5 Liters Marshal) .Massive spraying was done.,,,8,2021
WS 2021,September,II,Quirino,Diffun,Vailla Pascual,16.610837,121.558788,Rice,,170,"480, 222, 216",Booting,BPH,72,72,50,,,72,0,Validated and distributed (20 Liters of 12 Liters of Marshal and 12 Liters of Ariba ) Massive spraying was done.,,,50,2021
WS 2021,September,II,Isabela,San Mateo,Victoria,16.838497,121.634153,Rice,,10,DDX/ 222/ LP2096,Flowering,BPH,2,2,15,,,2,0,Validated and recommended farmers to spray Insecticide,,,10,2021
WS 2021,September,II,Isabela,Mallig,Victoria,17.194402,121.611402,Rice,,210,SL8/ 402/ PHB79,Tillering,BPH,30,30,20,,,30,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,September,II,Isabela,San Mateo,Victoria,16.838497,121.634153,Rice,,10,DDX/ 222/ LP2096,Flowering,Leaffolder,2,2,50,,,2,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,September,II,Isabela,Angadanan,Villa Domingo,16.8346,121.7949,Rice,,2.8,RC 480/ 222,Milking,BPH,2.8,2.8,10,,,2.8,0,Validated and recommended farmers to spray Insecticide,,,,2021
WS 2021,August,II,Isabela,Ramon,Villa Marcos,16.759273,121.579893,Rice,,20,222/ SL20/ 402/ DDX/ Sl8,Flowering,BPH,20,20,10,,,20,0,DA RF02 provided insecticide (12 Liters Marshal) .Massive spraying was done.,,,40,2021
WS 2021,October,II,Quirino,Diffun,Villa Pascua,16.610697,121.558242,Rice,,168,218/ 402,Dough,BPH,60,60,6,,,60,0,Validated and recommended farmers to spray Insecticide,,,6,2021
WS 2021,August,II,Quirino,Cabarroguis,Villa Rose,16.498558,121.483658,Rice,,36,402,Dough,BPH,1,1,10,,,1,0,Validated and distributed pesticide for the farmers and advised to conduct masiived spraying,,,15,2021
WS 2021,September,II,Quirino,Aglipay,Villa Santiago,16.429113,121.639915,Rice,,105,218/ 480/ 402,Tillering,BPH,25,25,18,,,25,0,Validated and distributed 1 Liter Ariba 3 Liters Marshal Massive spraying was done.,,,15,2021
WS 2021,October,II,Quirino,Cabarroguis,Villamor,16.492412,121.507213,Rice,,170.5,402/ 480/ PHB79,Dough,BPH,7,7,8,,,7,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,July,II,Quirino,Cabarroguis,Villamor,16.487057,121.509323,Rice,,104,Inbred 402,Seedling stage,Cutworm,0.4,0.4,10,,,0.4,0,Validated and recommended farmers to spray Insecticide,,,2,2021
WS 2021,July,II,Quirino,Cabarroguis,Villamor,16.487057,121.509323,Rice,,104,Inbred 402,Seedling stage,FAW,0.4,0.4,10,,,0.4,0,Validated and recommended farmers to spray insecticide,,,6,2021
WS 2021,September,II,Quirino,Cabarroguis,Villarose,16.50409,121.489813,Rice,,36,218/ 480/ 402,Tillering,BPH,15,15,8,,,15,0,Validated and recommended farmers to spray Insecticide,,,25,2021
WS 2021,August,II,Quirino,Cabarroguis,Villarose,16.498555,121.483827,Rice,,36,402,Milking,Rice Blast,10,10,8,,,10,0,Validated and recommended farmers to spray fungicide,,,12,2021
WS 2021,September,II,Nueva Vizcaya,Solano,Wacal,16.466175,121.148645,Rice,,21,222/ 216/ 480,Tillering,BPH,21,21,50,,,21,0,DA RF02 provided insecticide for Massive spraying was done.,,,13,2021
WS 2021,September,II,Nueva Vizcaya,Kasibu,Watwat,16.328036,12.277071,Rice,,50,402/ 222/ C-8/ 216/ Bigante,Tillering,BPH,20,20,50,,,20,0,Validated and recommended farmers to spray Insecticide,,,,2021
WS 2021,August,II,Quirino,Maddela,Ysmael,16.260758,121.710647,Rice,,31,RC 160,Milking,BPH,0.5,0.5,25,,,0.5,0,Validated and recommended farmers to spray Insecticide,,,35,2021
WS 2021,August,II,Quirino,Maddela,Ysmael,16.260758,121.710647,Rice,,31,RC 160,Milking,BPH,0.5,0.5,25,,,0.5,0,Validated and recommended farmers to spray Insecticide,,,2,2021
WS 2021,September,II,Quirino,Cabarroguis,Zamora,16.506553,121.509673,Rice,,68,480,Tillering,BPH,30,30,15,,,30,0,"Validated and distributed 20 Liters of (59 Liters Marshal and 24 Liters of Ariba in Cabarroguis,) Massive spraying was done.",,,36,2021
WS 2021,September,II,Quirino,Cabarroguis,Zamora,16.501422,121.523508,Rice,,123,218/ 402,Tillering,BPH,15,15,6,,,15,0,Validated and recommended farmers to spray Insecticide,,,3,2021
WS 2021,June,II,Cagayan,Claveria,Lablabig,18.5599,12.0346,Rice,,2,PHB79,Seedling stage,TAW,0.08,0.08,10,,,0.08,0,Farmers sprayed insecticide. Followed application of BCA's,,,8,2021
DS 2021-2022,May,II,Nueva Vizcaya,Kayapa,Pampang,16.362296,120.887132,Rice,,10,SL8/222/77/79,Tillering,Rice Blast,0.3,0.3,10,,,0.3,0,DA-LGU provided fungicide. Followed application of BCA's,,,10,2021
WS 2021,July,II,Quirino,Naguilian,San Dionisio II,16.240648,121.61848,Rice,,6.35,222,Tillering,Whorl Maggot,1.5,1.5,4,,,1.5,0,Validated and recommended farmers to spray insecticide,,,12,2021
DS 2021-2022,May,II,Quirino,Maddela,Cabaruan,16.30312,121.65632,Rice,,10,TH-82,Seedling stage,Cutworm,0.4,0.4,5,,,0.2,0,Farmers sprayed insecticide. Followed application of BCA's,,,1,2021
WS 2021,June,II,Nueva Vizcaya,Bagabag,Lantap,16.6236,121.22081,Rice,,5,NSIC 160/408/222,Seedling stage,TAW,0.2,0.2,3,,,0.2,0,DA-LGU provided chemicals,,,7,2021
WS 2021,July,II,Quirino,Cabarroguis,Villarose,16.498378,121.88388,Rice,,36,222,Tillering,Leaffolder,1.5,1.5,4,,,1.5,0,Validated and recommended farmers to spray insecticide,,,,2021
WS 2021,July,II,Quirino,Cabarroguis,Villarose,16.498378,121.88388,Rice,,36,222,Tillering,Whorl Maggot,1.5,1.5,4,,,1.5,0,Validated and recommended farmers to spray insecticide,,,,2021
WS 2021,June,II,Nueva Vizcaya,Solano,Bascaran,16.528032,121.221796,Rice,,2,222,Seedling stage,TAW,0.08,0.08,5,,,0.08,0,Farmers sprayed insecticide. Followed application of BCA's,,,20,2021
DS 2021-2022,May,II,Quirino,Maddela,Difintin,16.299773,121.651567,Rice,,10,PHB77,Seedling stage,Cutworm,0.4,0.4,10,,,0.12,0,Farmers sprayed insecticide. Followed application of BCA's,,,14,2021
